timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1489761266142,5013,SOAP/XML-RPC Request,200,OK,PythonDirect 1-113,,true,,32,0,190,190,5013,0,0
1489761266151,5014,SOAP/XML-RPC Request,200,OK,PythonDirect 1-117,,true,,32,0,190,190,5014,0,0
1489761266152,5034,SOAP/XML-RPC Request,200,OK,PythonDirect 1-119,,true,,32,0,190,190,5034,0,0
1489761266152,5035,SOAP/XML-RPC Request,200,OK,PythonDirect 1-118,,true,,32,0,190,190,5035,0,0
1489761266156,5031,SOAP/XML-RPC Request,200,OK,PythonDirect 1-122,,true,,32,0,190,190,5031,0,0
1489761266155,5033,SOAP/XML-RPC Request,200,OK,PythonDirect 1-121,,true,,32,0,190,190,5033,0,0
1489761266153,5035,SOAP/XML-RPC Request,200,OK,PythonDirect 1-120,,true,,32,0,190,190,5035,0,0
1489761266931,5008,SOAP/XML-RPC Request,200,OK,PythonDirect 1-37,,true,,32,0,208,208,5008,0,0
1489761266934,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-36,,true,,32,0,208,208,5008,0,0
1489761266936,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-38,,true,,32,0,208,208,5009,0,0
1489761266938,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-40,,true,,32,0,208,208,5011,0,0
1489761266940,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-39,,true,,32,0,208,208,5010,0,0
1489761266942,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-41,,true,,32,0,208,208,5010,0,0
1489761266950,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-42,,true,,32,0,208,208,5007,0,0
1489761266951,5008,SOAP/XML-RPC Request,200,OK,PythonDirect 1-44,,true,,32,0,208,208,5008,0,0
1489761266954,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-46,,true,,32,0,208,208,5007,0,0
1489761266952,5012,SOAP/XML-RPC Request,200,OK,PythonDirect 1-43,,true,,32,0,208,208,5012,0,0
1489761266957,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-47,,true,,32,0,208,208,5009,0,0
1489761266961,5006,SOAP/XML-RPC Request,200,OK,PythonDirect 1-48,,true,,32,0,208,208,5006,0,0
1489761266972,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-45,,true,,32,0,208,208,5009,0,0
1489761266975,5013,SOAP/XML-RPC Request,200,OK,PythonDirect 1-49,,true,,32,0,208,208,5012,0,0
1489761266978,5015,SOAP/XML-RPC Request,200,OK,PythonDirect 1-50,,true,,32,0,208,208,5015,0,0
1489761266982,5016,SOAP/XML-RPC Request,200,OK,PythonDirect 1-51,,true,,32,0,208,208,5016,0,0
1489761266986,5023,SOAP/XML-RPC Request,200,OK,PythonDirect 1-53,,true,,32,0,208,208,5023,0,0
1489761266987,5024,SOAP/XML-RPC Request,200,OK,PythonDirect 1-52,,true,,32,0,208,208,5024,0,0
1489761267156,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-123,,true,,32,0,208,208,5010,0,0
1489761267162,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-125,,true,,32,0,208,208,5009,0,0
1489761267157,5013,SOAP/XML-RPC Request,200,OK,PythonDirect 1-124,,true,,32,0,208,208,5013,0,0
1489761267164,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-126,,true,,32,0,208,208,5009,0,0
1489761267169,5006,SOAP/XML-RPC Request,200,OK,PythonDirect 1-131,,true,,32,0,208,208,5006,0,0
1489761267168,5008,SOAP/XML-RPC Request,200,OK,PythonDirect 1-130,,true,,32,0,208,208,5008,0,0
1489761267166,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-127,,true,,32,0,208,208,5009,0,0
1489761267166,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-128,,true,,32,0,208,208,5011,0,0
1489761267170,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-132,,true,,32,0,208,208,5007,0,0
1489761267171,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-134,,true,,32,0,208,208,5007,0,0
1489761267175,5004,SOAP/XML-RPC Request,200,OK,PythonDirect 1-139,,true,,32,0,208,208,5004,0,0
1489761267174,5006,SOAP/XML-RPC Request,200,OK,PythonDirect 1-138,,true,,32,0,208,208,5006,0,0
1489761267172,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-135,,true,,32,0,208,208,5009,0,0
1489761267173,5008,SOAP/XML-RPC Request,200,OK,PythonDirect 1-137,,true,,32,0,208,208,5008,0,0
1489761267173,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-136,,true,,32,0,208,208,5009,0,0
1489761267168,5014,SOAP/XML-RPC Request,200,OK,PythonDirect 1-129,,true,,32,0,208,208,5014,0,0
1489761267171,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-133,,true,,32,0,208,208,5009,0,0
1489761267986,5008,SOAP/XML-RPC Request,200,OK,PythonDirect 1-55,,true,,32,0,225,225,5008,0,0
1489761267986,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-54,,true,,32,0,225,225,5009,0,0
1489761267993,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-57,,true,,32,0,225,225,5009,0,0
1489761267998,5005,SOAP/XML-RPC Request,200,OK,PythonDirect 1-59,,true,,32,0,225,225,5004,0,0
1489761267995,5012,SOAP/XML-RPC Request,200,OK,PythonDirect 1-56,,true,,32,0,225,225,5012,0,0
1489761268001,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-60,,true,,32,0,225,225,5007,0,0
1489761267996,5015,SOAP/XML-RPC Request,200,OK,PythonDirect 1-58,,true,,32,0,225,225,5014,0,0
1489761268002,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-63,,true,,32,0,225,225,5009,0,0
1489761268007,5015,SOAP/XML-RPC Request,200,OK,PythonDirect 1-61,,true,,32,0,225,225,5015,0,0
1489761268017,5020,SOAP/XML-RPC Request,200,OK,PythonDirect 1-66,,true,,32,0,225,225,5020,0,0
1489761268019,5028,SOAP/XML-RPC Request,200,OK,PythonDirect 1-65,,true,,32,0,225,225,5028,0,0
1489761268020,5033,SOAP/XML-RPC Request,200,OK,PythonDirect 1-70,,true,,32,0,225,225,5033,0,0
1489761268020,5034,SOAP/XML-RPC Request,200,OK,PythonDirect 1-64,,true,,32,0,225,225,5034,0,0
1489761268018,5038,SOAP/XML-RPC Request,200,OK,PythonDirect 1-68,,true,,32,0,225,225,5038,0,0
1489761268024,5033,SOAP/XML-RPC Request,200,OK,PythonDirect 1-67,,true,,32,0,225,225,5033,0,0
1489761268024,5034,SOAP/XML-RPC Request,200,OK,PythonDirect 1-62,,true,,32,0,225,225,5034,0,0
1489761268175,5005,SOAP/XML-RPC Request,200,OK,PythonDirect 1-140,,true,,32,0,225,225,5005,0,0
1489761268177,5004,SOAP/XML-RPC Request,200,OK,PythonDirect 1-142,,true,,32,0,225,225,5004,0,0
1489761268177,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-143,,true,,32,0,225,225,5009,0,0
1489761268178,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-144,,true,,32,0,225,225,5009,0,0
1489761268178,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-141,,true,,32,0,225,225,5011,0,0
1489761268182,5008,SOAP/XML-RPC Request,200,OK,PythonDirect 1-148,,true,,32,0,225,225,5008,0,0
1489761268182,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-147,,true,,32,0,225,225,5009,0,0
1489761268182,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-149,,true,,32,0,225,225,5010,0,0
1489761268180,5013,SOAP/XML-RPC Request,200,OK,PythonDirect 1-146,,true,,32,0,225,225,5012,0,0
1489761268186,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-153,,true,,32,0,225,225,5007,0,0
1489761268179,5014,SOAP/XML-RPC Request,200,OK,PythonDirect 1-145,,true,,32,0,225,225,5014,0,0
1489761268187,5015,SOAP/XML-RPC Request,200,OK,PythonDirect 1-156,,true,,32,0,225,225,5015,0,0
1489761268184,5022,SOAP/XML-RPC Request,200,OK,PythonDirect 1-150,,true,,32,0,225,225,5021,0,0
1489761268187,5019,SOAP/XML-RPC Request,200,OK,PythonDirect 1-151,,true,,32,0,225,225,5019,0,0
1489761268188,5018,SOAP/XML-RPC Request,200,OK,PythonDirect 1-152,,true,,32,0,225,225,5018,0,0
1489761268188,5019,SOAP/XML-RPC Request,200,OK,PythonDirect 1-154,,true,,32,0,225,225,5019,0,0
